sae_feature_id,count_wrong,count_correct,layer,num_correct_samples,num_wrong_samples,num_total_samples,freq_correct,freq_wrong,total_count,freq_total,freq_difference_wrong_minus_correct,is_common_feature
15477,14.0,20.0,1,30,30,60,0.6666666666666666,0.4666666666666667,34.0,0.5666666666666667,-0.19999999999999996,False
3407,20.0,8.0,2,30,30,60,0.26666666666666666,0.6666666666666666,28.0,0.4666666666666667,0.39999999999999997,False
6688,12.0,8.0,2,30,30,60,0.26666666666666666,0.4,20.0,0.3333333333333333,0.13333333333333336,False
13366,29.0,26.0,2,30,30,60,0.8666666666666667,0.9666666666666667,55.0,0.9166666666666666,0.09999999999999998,True
1185,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
2007,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
2398,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
2795,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
3581,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
4506,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
6318,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
6518,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
6868,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
10990,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12027,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12493,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12625,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
13092,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
13977,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
14618,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
16225,30.0,30.0,2,30,30,60,1.0,1.0,60.0,1.0,0.0,True
2693,24.0,27.0,2,30,30,60,0.9,0.8,51.0,0.85,-0.09999999999999998,True
5004,5.0,21.0,2,30,30,60,0.7,0.16666666666666666,26.0,0.43333333333333335,-0.5333333333333333,False
6090,13.0,10.0,3,30,30,60,0.3333333333333333,0.43333333333333335,23.0,0.38333333333333336,0.10000000000000003,False
3591,6.0,3.0,3,30,30,60,0.1,0.2,9.0,0.15,0.1,False
13388,30.0,29.0,3,30,30,60,0.9666666666666667,1.0,59.0,0.9833333333333333,0.033333333333333326,True
1749,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
1917,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
3506,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
4758,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
5231,1.0,1.0,3,30,30,60,0.03333333333333333,0.03333333333333333,2.0,0.03333333333333333,0.0,False
6266,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
7002,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
7329,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
10909,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
11150,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
11472,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12787,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
12815,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
13651,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
14041,1.0,1.0,3,30,30,60,0.03333333333333333,0.03333333333333333,2.0,0.03333333333333333,0.0,False
14086,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
14238,30.0,30.0,3,30,30,60,1.0,1.0,60.0,1.0,0.0,True
14281,28.0,28.0,3,30,30,60,0.9333333333333333,0.9333333333333333,56.0,0.9333333333333333,0.0,True
15751,29.0,29.0,3,30,30,60,0.9666666666666667,0.9666666666666667,58.0,0.9666666666666667,0.0,True
15786,28.0,28.0,3,30,30,60,0.9333333333333333,0.9333333333333333,56.0,0.9333333333333333,0.0,True
10327,0.0,1.0,3,30,30,60,0.03333333333333333,0.0,1.0,0.016666666666666666,-0.03333333333333333,False
11044,1.0,2.0,3,30,30,60,0.06666666666666667,0.03333333333333333,3.0,0.05,-0.03333333333333333,False
9553,2.0,4.0,3,30,30,60,0.13333333333333333,0.06666666666666667,6.0,0.1,-0.06666666666666667,False
4929,11.0,14.0,3,30,30,60,0.4666666666666667,0.36666666666666664,25.0,0.4166666666666667,-0.10000000000000003,False
